 Placa ; Tipo de Vehiculo ; Año del Permiso ; Valor Permiso ; IPC ; Multa ; Valor Total ; Fecha de Emision ; Codigo Sii ; Forma de Pago ; Fondos a Terceros 
ZL-4087;CAMIONETA;2020;29500;0;0;29500;20-03-2020;CT176019206;Contado;No
TU-3357;CAMIONETA;2020;24837;0;0;24837;20-03-2020;CT111000900;Contado;No
DTCV-56;CAMIONETA;2020;26698;0;0;26698;20-03-2020;CT176029112;1ra. Cuota;No
GHTD-13;AUTOMOVIL;2020;55596;0;0;55596;20-03-2020;SD111023214;Contado;No
GFCR-46;STATION WAGON;2020;287606;0;0;287606;20-03-2020;VN141001214;Contado;No
JSJG-87;CAMIONETA;2020;372006;0;0;372006;20-03-2020;CT235014517;Contado;No
FRYC-62;STATION WAGON;2020;74128;0;0;74128;20-03-2020;SU154000913;Contado;No
JDDT-47;CAMIONETA;2020;272989;0;0;272989;20-03-2020;CT166006617;Contado;No
CGRB-98;CAMIONETA;2020;24837;0;0;24837;25-03-2020;CT111001199;Contado;No
CTVY-63;CAMIONETA;2020;81396;0;0;81396;25-03-2020;CT176023711;Contado;No
FVJJ-80;CAMIONETA;2020;26087;0;0;26087;25-03-2020;CT065002113;Contado;No
GZCL-12;STATION WAGON;2020;54145;0;0;54145;25-03-2020;SU225008615;1ra. Cuota;No
CPTS-44;AUTOMOVIL;2020;24837;0;0;24837;25-03-2020;SD050026511;Contado;No
SF-7995;CAMIONETA;2020;12418;0;0;12418;25-03-2020;CT160001898;1ra. Cuota;No
YJ-5570;CAMION;2019;49033;883;4492;54408;25-03-2020; ;Contado;No
GSTK-82;CAMIONETA;2020;158089;0;0;158089;25-03-2020;CT166005915;Contado;No
GYHK-70;CAMIONETA;2020;158089;0;0;158089;25-03-2020;CT166005915;Contado;No
GSTK-84;CAMIONETA;2020;158089;0;0;158089;25-03-2020;CT166005915;Contado;No
GSTK-83;CAMIONETA;2020;158089;0;0;158089;25-03-2020;CT166005915;Contado;No
GYHK-99;CAMIONETA;2020;158089;0;0;158089;25-03-2020;CT166005915;Contado;No
GYHK-82;CAMIONETA;2020;158089;0;0;158089;25-03-2020;CT166005915;Contado;No
GYHK-88;CAMIONETA;2020;158089;0;0;158089;25-03-2020;CT166005915;Contado;No
GSTL-75;CAMIONETA;2020;158089;0;0;158089;25-03-2020;CT166005915;Contado;No
GZHT-22;CAMIONETA;2020;158089;0;0;158089;25-03-2020;CT166005915;Contado;No
HKZR-82;CAMIONETA;2020;272989;0;0;272989;25-03-2020;CT166006617;Contado;No
JVRW-15;AUTOMOVIL;2020;396069;0;0;396069;25-03-2020;HB111018117;Contado;No
