 Placa ; Tipo de Vehiculo ; Marca ; Año del Permiso ; Valor Permiso ; IPC ; Multa ; Valor Total ; Fecha de Emision ; Codigo Sii ; Clasificacion ; Forma de Pago 
JJTT-43;CAMIONETA;TOYOTA;2019;156641;0;0;156641;20-03-2019;CT235014717;NORMAL;1ra. Cuota
HHSK-57;STATION WAGON;PEUGEOT;2019;71533;0;0;71533;20-03-2019;CO184015215;NORMAL;1ra. Cuota
JJTT-44;CAMIONETA;TOYOTA;2019;156641;0;0;156641;20-03-2019;CT235014717;NORMAL;1ra. Cuota
JJTT-45;CAMIONETA;TOYOTA;2019;156641;0;0;156641;20-03-2019;CT235014717;NORMAL;1ra. Cuota
GXFZ-74;AUTOMOVIL;HYUNDAI;2019;42594;0;0;42594;20-03-2019;HB111015415;NORMAL;1ra. Cuota
JJTT-46;CAMIONETA;TOYOTA;2019;156641;0;0;156641;20-03-2019;CT235014717;NORMAL;1ra. Cuota
JJTT-55;CAMIONETA;TOYOTA;2019;156641;0;0;156641;20-03-2019;CT235014717;NORMAL;1ra. Cuota
JJTT-56;CAMIONETA;TOYOTA;2019;156641;0;0;156641;20-03-2019;CT235014717;NORMAL;1ra. Cuota
JJTT-57;CAMIONETA;TOYOTA;2019;156641;0;0;156641;20-03-2019;CT235014717;NORMAL;1ra. Cuota
JJTT-30;CAMIONETA;TOYOTA;2019;156641;0;0;156641;20-03-2019;CT235014717;NORMAL;1ra. Cuota
JJTT-31;CAMIONETA;TOYOTA;2019;156641;0;0;156641;20-03-2019;CT235014717;NORMAL;1ra. Cuota
JJTT-32;CAMIONETA;TOYOTA;2019;156641;0;0;156641;20-03-2019;CT235014717;NORMAL;1ra. Cuota
JJTT-33;CAMIONETA;TOYOTA;2019;156641;0;0;156641;20-03-2019;CT235014717;NORMAL;1ra. Cuota
JJTT-34;CAMIONETA;TOYOTA;2019;156641;0;0;156641;20-03-2019;CT235014717;NORMAL;1ra. Cuota
JJTT-35;CAMIONETA;TOYOTA;2019;156641;0;0;156641;20-03-2019;CT235014717;NORMAL;1ra. Cuota
JJTT-36;CAMIONETA;TOYOTA;2019;156641;0;0;156641;20-03-2019;CT235014717;NORMAL;1ra. Cuota
JJTT-37;CAMIONETA;TOYOTA;2019;156641;0;0;156641;20-03-2019;CT235014717;NORMAL;1ra. Cuota
JJTT-38;CAMIONETA;TOYOTA;2019;156641;0;0;156641;20-03-2019;CT235014717;NORMAL;1ra. Cuota
JRVW-46;CAMIONETA;VOLKSWAGEN;2019;269841;0;0;269841;20-03-2019;CT243007417;NORMAL;1ra. Cuota
JTKB-10;CAMIONETA;TOYOTA;2019;156641;0;0;156641;20-03-2019;CT235014717;NORMAL;1ra. Cuota
JTKB-11;CAMIONETA;TOYOTA;2019;156641;0;0;156641;20-03-2019;CT235014717;NORMAL;1ra. Cuota
JTKB-12;CAMIONETA;TOYOTA;2019;156641;0;0;156641;20-03-2019;CT235014717;NORMAL;1ra. Cuota
JTKB-13;CAMIONETA;TOYOTA;2019;156641;0;0;156641;20-03-2019;CT235014717;NORMAL;1ra. Cuota
JTLW-84;CAMIONETA;TOYOTA;2019;156641;0;0;156641;20-03-2019;CT235014717;NORMAL;1ra. Cuota
KHHT-88;CAMIONETA;MITSUBISHI;2019;179441;0;0;179441;20-03-2019;CT166006418;NORMAL;1ra. Cuota
KHHS-65;CAMIONETA;VOLKSWAGEN;2019;345613;0;0;345613;20-03-2019;CT243007418;NORMAL;1ra. Cuota
KHDV-30;CAMIONETA;MITSUBISHI;2019;204641;0;0;204641;20-03-2019;CT166006618;NORMAL;1ra. Cuota
KHDV-50;CAMIONETA;MITSUBISHI;2019;179441;0;0;179441;20-03-2019;CT166006418;NORMAL;1ra. Cuota
KHDV-49;CAMIONETA;MITSUBISHI;2019;179441;0;0;179441;20-03-2019;CT166006418;NORMAL;1ra. Cuota
KJCR-38;CAMIONETA;MITSUBISHI;2019;179441;0;0;179441;20-03-2019;CT166006418;NORMAL;1ra. Cuota
KKSS-70;CAMIONETA;VOLKSWAGEN;2019;266441;0;0;266441;20-03-2019;CT243007318;NORMAL;1ra. Cuota
KSSG-62;CAMIONETA;MITSUBISHI;2019;204641;0;0;204641;20-03-2019;CT166006618;NORMAL;1ra. Cuota
KSKP-20;CAMIONETA;VOLKSWAGEN;2019;325740;0;0;325740;20-03-2019;CT243007419;NORMAL;1ra. Cuota
KSKP-19;CAMIONETA;VOLKSWAGEN;2019;249528;0;0;249528;20-03-2019;CT243007319;NORMAL;1ra. Cuota
JXPC-76;CAMIONETA;TOYOTA;2019;168041;0;0;168041;20-03-2019;CT235015318;NORMAL;1ra. Cuota
JXPC-75;CAMIONETA;TOYOTA;2019;168041;0;0;168041;20-03-2019;CT235015318;NORMAL;1ra. Cuota
JXPC-74;CAMIONETA;TOYOTA;2019;168041;0;0;168041;20-03-2019;CT235015318;NORMAL;1ra. Cuota
JXPC-73;CAMIONETA;TOYOTA;2019;168041;0;0;168041;20-03-2019;CT235015318;NORMAL;1ra. Cuota
JXPC-71;CAMIONETA;TOYOTA;2019;168041;0;0;168041;20-03-2019;CT235015318;NORMAL;1ra. Cuota
JXPF-17;CAMIONETA;TOYOTA;2019;168041;0;0;168041;20-03-2019;CT235015318;NORMAL;1ra. Cuota
JXPD-73;CAMIONETA;TOYOTA;2019;168041;0;0;168041;20-03-2019;CT235015318;NORMAL;1ra. Cuota
JXPD-74;CAMIONETA;TOYOTA;2019;168041;0;0;168041;20-03-2019;CT235015318;NORMAL;1ra. Cuota
JXPD-75;CAMIONETA;TOYOTA;2019;168041;0;0;168041;20-03-2019;CT235015318;NORMAL;1ra. Cuota
JXPD-76;CAMIONETA;TOYOTA;2019;168041;0;0;168041;20-03-2019;CT235015318;NORMAL;1ra. Cuota
JXPD-77;CAMIONETA;TOYOTA;2019;168041;0;0;168041;20-03-2019;CT235015318;NORMAL;1ra. Cuota
JXPD-78;CAMIONETA;TOYOTA;2019;168041;0;0;168041;20-03-2019;CT235015318;NORMAL;1ra. Cuota
JXPD-88;CAMIONETA;TOYOTA;2019;168041;0;0;168041;20-03-2019;CT235015318;NORMAL;1ra. Cuota
JXPD-97;CAMIONETA;TOYOTA;2019;168041;0;0;168041;20-03-2019;CT235015318;NORMAL;1ra. Cuota
JXPD-98;CAMIONETA;TOYOTA;2019;168041;0;0;168041;20-03-2019;CT235015318;NORMAL;1ra. Cuota
JXPD-99;CAMIONETA;TOYOTA;2019;168041;0;0;168041;20-03-2019;CT235015318;NORMAL;1ra. Cuota
JXPF-10;CAMIONETA;TOYOTA;2019;168041;0;0;168041;20-03-2019;CT235015318;NORMAL;1ra. Cuota
JXPD-68;CAMIONETA;TOYOTA;2019;168041;0;0;168041;20-03-2019;CT235015318;NORMAL;1ra. Cuota
JXPF-15;CAMIONETA;TOYOTA;2019;168041;0;0;168041;20-03-2019;CT235015318;NORMAL;1ra. Cuota
JXPF-18;CAMIONETA;TOYOTA;2019;168041;0;0;168041;20-03-2019;CT235015318;NORMAL;1ra. Cuota
JXPF-19;CAMIONETA;TOYOTA;2019;168041;0;0;168041;20-03-2019;CT235015318;NORMAL;1ra. Cuota
JXPF-20;CAMIONETA;TOYOTA;2019;168041;0;0;168041;20-03-2019;CT235015318;NORMAL;1ra. Cuota
JXPF-21;CAMIONETA;TOYOTA;2019;168041;0;0;168041;20-03-2019;CT235015318;NORMAL;1ra. Cuota
JXPD-69;CAMIONETA;TOYOTA;2019;168041;0;0;168041;20-03-2019;CT235015318;NORMAL;1ra. Cuota
JZBT-99;CAMIONETA;TOYOTA;2019;168041;0;0;168041;20-03-2019;CT235015318;NORMAL;1ra. Cuota
JZBT-98;CAMIONETA;TOYOTA;2019;168041;0;0;168041;20-03-2019;CT235015318;NORMAL;1ra. Cuota
JZBV-91;CAMIONETA;TOYOTA;2019;168041;0;0;168041;20-03-2019;CT235015318;NORMAL;1ra. Cuota
JZBV-92;CAMIONETA;TOYOTA;2019;168041;0;0;168041;20-03-2019;CT235015318;NORMAL;1ra. Cuota
SS-9733;CAMIONETA;FORD;2019;24177;0;0;24177;21-03-2019;CT079008399;NORMAL;Contado
UB-7729;STATION WAGON;TOYOTA;2019;28500;0;0;28500;21-03-2019;SU235003101;NORMAL;Contado
BSTG-76;STATION WAGON;DAIHATSU;2019;43788;0;0;43788;21-03-2019;SU059009508;NORMAL;Contado
KVPS-17;STATION WAGON;NISSAN;2019;240430;0;0;240430;21-03-2019;SU176023419;NORMAL;Contado
LBYY-69;AUTOMOVIL;PORSCHE;2019;2886147;0;0;2886147;21-03-2019;SD192013419;NORMAL;Contado
FDTB-36;CAMIONETA;FORD;2019;386482;0;0;386482;21-03-2019;CT079016313;NORMAL;Contado
JPYV-36;CAMIONETA;FORD;2019;625526;0;0;625526;21-03-2019;CT079018317;NORMAL;Contado
